日付,島,現在島台数,記録台数,記録率,◎台数,○台数,△台数,◎率,○以上率,△以上率,現行判定
2026-02-19,マイジャグ島C,10,6,60.0,1,1,4,10.0,20.0,60.0,
2026-02-19,マイジャグ島D,15,1,6.67,0,0,1,0.0,0.0,6.67,
2026-02-19,ミスタ島,10,5,50.0,0,2,3,0.0,20.0,50.0,
2026-02-19,ミラクル島,10,4,40.0,1,2,1,10.0,30.0,40.0,
2026-03-09,ガール島,10,4,40.0,1,0,3,10.0,10.0,40.0,
2026-03-09,ゴー島①,10,10,100.0,7,3,0,70.0,100.0,100.0,STRONG
2026-03-09,ゴー島②,10,6,60.0,2,2,2,20.0,40.0,60.0,
2026-03-09,ネオアイム島②,8,4,50.0,2,1,1,25.0,37.5,50.0,
2026-03-09,ネオアイム島③,8,5,62.5,2,1,2,25.0,37.5,62.5,
2026-03-09,ネオアイム島④,12,3,25.0,0,0,3,0.0,0.0,25.0,
2026-03-09,ネオアイム島⑤,12,2,16.67,0,1,1,0.0,8.33,16.67,
2026-03-09,ネオアイム島⑥,8,0,0.0,0,0,0,0.0,0.0,0.0,
2026-03-09,ハッピ島,8,2,25.0,0,1,1,0.0,12.5,25.0,
2026-03-09,ファン島①,10,3,30.0,0,3,0,0.0,30.0,30.0,
2026-03-09,ファン島②,10,3,30.0,1,0,2,10.0,10.0,30.0,
2026-03-09,マイジャグ島A,15,6,40.0,1,1,4,6.67,13.33,40.0,
2026-03-09,マイジャグ島B,10,4,40.0,2,1,1,20.0,30.0,40.0,
2026-03-09,マイジャグ島C,10,5,50.0,1,0,4,10.0,10.0,50.0,
2026-03-09,マイジャグ島D,15,6,40.0,1,0,5,6.67,6.67,40.0,
2026-03-09,ミスタ島,10,5,50.0,1,0,4,10.0,10.0,50.0,
2026-03-09,ミラクル島,10,5,50.0,1,2,2,10.0,30.0,50.0,
2026-03-19,ガール島,10,4,40.0,4,0,0,40.0,40.0,40.0,
2026-03-19,ゴー島①,10,3,30.0,1,1,1,10.0,20.0,30.0,
2026-03-19,ゴー島②,10,4,40.0,2,2,0,20.0,40.0,40.0,
2026-03-19,ネオアイム島②,8,4,50.0,1,0,3,12.5,12.5,50.0,
2026-03-19,ネオアイム島③,8,4,50.0,1,3,0,12.5,50.0,50.0,
2026-03-19,ネオアイム島④,12,7,58.33,4,1,2,33.33,41.67,58.33,
2026-03-19,ネオアイム島⑤,12,2,16.67,0,0,2,0.0,0.0,16.67,
2026-03-19,ネオアイム島⑥,8,0,0.0,0,0,0,0.0,0.0,0.0,
