日付,島,current_machines,observed_count,unrecorded_count,high_count,high_rate,strong,candidate
2026-03-29,マイジャグ島B,10,10,0,2,20.0,0,0
2026-03-29,マイジャグ島C,10,10,0,1,10.0,0,0
2026-03-29,マイジャグ島D,15,15,0,6,40.0,0,0
2026-03-29,ミスタ島,10,10,0,1,10.0,0,0
2026-03-29,ミラクル島,10,10,0,4,40.0,0,0
2026-04-09,ガール島,10,10,0,8,80.0,1,1
2026-04-09,ゴー島①,10,10,0,5,50.0,0,0
2026-04-09,ゴー島②,10,10,0,6,60.0,0,0
2026-04-09,ネオアイム島①,8,8,0,6,75.0,0,1
2026-04-09,ネオアイム島②,8,8,0,2,25.0,0,0
2026-04-09,ネオアイム島③,12,12,0,3,25.0,0,0
2026-04-09,ネオアイム島④,12,12,0,4,33.33333333333333,0,0
2026-04-09,ネオアイム島⑤,8,8,0,3,37.5,0,0
2026-04-09,ハッピ島,8,8,0,4,50.0,0,0
2026-04-09,ファン島①,10,10,0,5,50.0,0,0
2026-04-09,ファン島②,10,10,0,5,50.0,0,0
2026-04-09,マイジャグ島A,15,25,0,9,60.0,0,0
2026-04-09,マイジャグ島B,10,25,0,4,40.0,0,0
2026-04-09,マイジャグ島C,10,0,10,0,0.0,0,0
2026-04-09,マイジャグ島D,15,0,15,0,0.0,0,0
2026-04-09,ミスタ島,10,10,0,5,50.0,0,0
2026-04-09,ミラクル島,10,10,0,4,40.0,0,0
2026-04-19,ガール島,10,10,0,5,50.0,0,0
2026-04-19,ゴー島①,10,10,0,4,40.0,0,0
2026-04-19,ゴー島②,10,10,0,4,40.0,0,0
2026-04-19,ネオアイム島①,8,8,0,3,37.5,0,0
2026-04-19,ネオアイム島②,8,8,0,4,50.0,0,0
2026-04-19,ネオアイム島③,12,12,0,5,41.66666666666667,0,0
2026-04-19,ネオアイム島④,12,12,0,5,41.66666666666667,0,0
2026-04-19,ネオアイム島⑤,8,8,0,8,100.0,1,1
