日付,島,strong,candidate,lag1_strong,lag1_candidate,lag2_strong,lag2_candidate,lag3_strong,lag3_candidate,strong_last3
2026-05-09,ミスタ島,0,0,0,0,0,0,0,0,0
2026-05-19,ミスタ島,0,0,0,0,0,0,0,0,0
2026-05-29,ミスタ島,0,0,0,0,0,0,0,0,0
2026-06-09,ミスタ島,1,1,0,0,0,0,0,0,0
2026-06-19,ミスタ島,0,0,1,1,0,0,0,0,1
2026-06-29,ミスタ島,0,0,0,0,1,1,0,0,1
2026-07-09,ミスタ島,0,0,0,0,0,0,1,1,1
2026-07-19,ミスタ島,1,1,0,0,0,0,0,0,0
2026-07-29,ミスタ島,0,0,1,1,0,0,0,0,1
2026-08-09,ミスタ島,0,1,0,0,1,1,0,0,1
2026-01-19,ミラクル島,0,0,0,0,0,0,0,0,0
2026-01-29,ミラクル島,0,1,0,0,0,0,0,0,0
2026-02-09,ミラクル島,0,0,0,1,0,0,0,0,0
2026-02-19,ミラクル島,0,0,0,0,0,1,0,0,0
2026-03-09,ミラクル島,0,0,0,0,0,0,0,1,0
2026-03-19,ミラクル島,0,0,0,0,0,0,0,0,0
2026-03-29,ミラクル島,0,0,0,0,0,0,0,0,0
2026-04-09,ミラクル島,0,0,0,0,0,0,0,0,0
2026-04-19,ミラクル島,0,0,0,0,0,0,0,0,0
2026-04-29,ミラクル島,1,1,0,0,0,0,0,0,0
2026-05-09,ミラクル島,0,0,1,1,0,0,0,0,1
2026-05-19,ミラクル島,0,0,0,0,1,1,0,0,1
2026-05-29,ミラクル島,0,0,0,0,0,0,1,1,1
2026-06-09,ミラクル島,0,0,0,0,0,0,0,0,0
2026-06-19,ミラクル島,0,0,0,0,0,0,0,0,0
2026-06-29,ミラクル島,0,0,0,0,0,0,0,0,0
2026-07-09,ミラクル島,0,0,0,0,0,0,0,0,0
2026-07-19,ミラクル島,0,0,0,0,0,0,0,0,0
2026-07-29,ミラクル島,0,0,0,0,0,0,0,0,0
2026-08-09,ミラクル島,0,0,0,0,0,0,0,0,0
