日付,営業日タイプ,島,台数,平均G数,平均合成確率,◎台数,○以上台数,△以上台数,◎率,○以上率,△以上率,実績スコア,判定,強い全台系フラグ,候補フラグ
2026-05-29,9の日,ネオアイム島②,8,6100.62,156.35,1,2,3,12.5,25.0,37.5,21.25,通常,0,0
2026-05-29,9の日,ネオアイム島③,12,6482.17,177.12,1,3,4,8.33,25.0,33.33,18.33,通常,0,0
2026-05-29,9の日,ネオアイム島④,12,6190.33,178.78,0,0,3,0.0,0.0,25.0,5.0,通常,0,0
2026-05-29,9の日,ネオアイム島⑤,8,6837.62,165.52,2,2,3,25.0,25.0,37.5,27.5,通常,0,0
2026-05-29,9の日,ハッピ島,8,8304.88,133.35,3,4,7,37.5,50.0,87.5,51.25,全台系候補,0,1
2026-05-29,9の日,ファン島①,10,7491.2,149.54,0,3,7,0.0,30.0,70.0,23.0,通常,0,0
2026-05-29,9の日,ファン島②,10,6376.9,187.84,1,1,2,10.0,10.0,20.0,12.0,通常,0,0
2026-05-29,9の日,マイジャグ島A,25,8130.76,152.86,2,4,11,8.0,16.0,44.0,17.6,通常,0,0
2026-05-29,9の日,マイジャグ島B,25,8120.16,161.12,3,3,9,12.0,12.0,36.0,16.8,通常,0,0
2026-05-29,9の日,ミスタ島,10,6790.9,155.51,0,1,5,0.0,10.0,50.0,13.0,通常,0,0
2026-05-29,9の日,ミラクル島,10,7484.2,152.64,2,4,4,20.0,40.0,40.0,30.0,通常,0,0
2026-06-09,9の日,ガール島,10,6699.8,153.32,3,3,3,30.0,30.0,30.0,30.0,通常,0,0
2026-06-09,9の日,ゴー島①,10,5678.0,151.15,2,2,4,20.0,20.0,40.0,24.0,通常,0,0
2026-06-09,9の日,ゴー島②,10,6442.3,149.56,1,1,3,10.0,10.0,30.0,14.0,通常,0,0
2026-06-09,9の日,ネオアイム島①,8,8318.5,131.25,3,4,6,37.5,50.0,75.0,48.75,全台系候補,0,1
2026-06-09,9の日,ネオアイム島②,8,5217.38,174.71,0,1,4,0.0,12.5,50.0,13.75,通常,0,0
2026-06-09,9の日,ネオアイム島③,12,5615.17,163.73,3,4,5,25.0,33.33,41.67,30.83,通常,0,0
2026-06-09,9の日,ネオアイム島④,12,5610.08,160.43,0,2,5,0.0,16.67,41.67,13.33,通常,0,0
2026-06-09,9の日,ネオアイム島⑤,8,5515.0,160.51,0,1,2,0.0,12.5,25.0,8.75,通常,0,0
2026-06-09,9の日,ハッピ島,8,6733.12,148.4,1,2,5,12.5,25.0,62.5,26.25,通常,0,0
2026-06-09,9の日,ファン島①,10,6448.6,176.89,1,1,1,10.0,10.0,10.0,10.0,通常,0,0
2026-06-09,9の日,ファン島②,10,8017.2,146.53,2,6,7,20.0,60.0,70.0,42.0,通常,0,0
2026-06-09,9の日,マイジャグ島A,25,6654.76,166.47,1,2,10,4.0,8.0,40.0,12.4,通常,0,0
2026-06-09,9の日,マイジャグ島B,25,7510.84,151.04,3,6,13,12.0,24.0,52.0,23.6,通常,0,0
2026-06-09,9の日,ミスタ島,10,9211.4,120.31,6,8,9,60.0,80.0,90.0,72.0,強い全台系,1,1
2026-06-09,9の日,ミラクル島,10,5544.3,177.56,2,2,3,20.0,20.0,30.0,22.0,通常,0,0
2026-06-19,9の日,ガール島,10,6991.9,160.05,1,2,4,10.0,20.0,40.0,19.0,通常,0,0
2026-06-19,9の日,ゴー島①,10,7184.5,152.79,0,1,4,0.0,10.0,40.0,11.0,通常,0,0
2026-06-19,9の日,ゴー島②,10,7009.4,151.29,0,0,2,0.0,0.0,20.0,4.0,通常,0,0
2026-06-19,9の日,ネオアイム島①,8,6800.62,165.25,0,0,2,0.0,0.0,25.0,5.0,通常,0,0
2026-06-19,9の日,ネオアイム島②,8,7899.0,151.1,0,4,6,0.0,50.0,75.0,30.0,通常,0,0
2026-06-19,9の日,ネオアイム島③,12,7032.25,156.08,1,2,5,8.33,16.67,41.67,17.5,通常,0,0
2026-06-19,9の日,ネオアイム島④,12,8661.75,123.34,7,10,12,58.33,83.33,100.0,74.17,強い全台系,1,1
2026-06-19,9の日,ネオアイム島⑤,8,7126.75,151.59,1,2,5,12.5,25.0,62.5,26.25,通常,0,0
2026-06-19,9の日,ハッピ島,8,7156.25,146.29,1,3,5,12.5,37.5,62.5,30.0,通常,0,0
2026-06-19,9の日,ファン島①,10,6922.3,154.39,2,2,5,20.0,20.0,50.0,26.0,通常,0,0
2026-06-19,9の日,ファン島②,10,6757.7,164.07,0,0,3,0.0,0.0,30.0,6.0,通常,0,0
2026-06-19,9の日,マイジャグ島A,25,8123.04,147.5,4,6,12,16.0,24.0,48.0,24.8,通常,0,0
2026-06-19,9の日,マイジャグ島B,25,7751.12,153.4,4,5,10,16.0,20.0,40.0,22.0,通常,0,0
